,product_id,product_name
0,79877543,大白兔 上海冠生园奶糖散装喜糖结婚庆年货糖果500g 约95个怀旧零食品儿童小吃
1,96514296,日本北海道进口royce生巧克力圣诞节情人节礼物巧克力礼盒装 纯黑苦【现货当天发】
2,79848693,【哈肉联】风干香肠 单根50g 瘦肉块有嚼劲 哈尔滨特产齐名红肠 *24根 [整箱]
3,79295853,天之缘 一次性双喜红地毯结婚地毯开业庆典门垫地毯婚庆红地毯 百年好合双喜红地毯（10米价格）
4,74142329,比瑞吉天然粮 狗粮 比熊室内成犬粮2kg
5,73681478,雷米高宠物香肠牛肉鸡肉火腿肠狗狗猫咪零食幼犬泰迪比熊金毛训练食品 30根/袋 牛肉味
6,94059728,徐福记 什锦糖果散装水果糖软硬糖结婚喜糖批发 多口味夹心棉花糖500g
7,89061649,德芙（Dove） 德芙巧克力礼盒装结婚婚庆喜糖糖果送女朋友生日礼品商务回礼平安夜圣诞糖果 红色配送手提袋
8,93138735,【新年货】小米MIX2 全面屏游戏手机 6GB+64GB 黑色 全网通4G手机 双卡双待
9,73681662,麦富迪宠物猫妙鲜封包幼猫湿粮猫咪零食 海洋鱼 12袋一盒
10,81327832,小米5X 手机 金色 全网通(4G+64G)标配版
11,79846965,源枝园味 澳橙 2个 单果约250g 水果
12,79294909,好利来 焦糖核桃 甜而不腻 顺丰派送 六粒装
13,79294568,Ferrero Raffaello费列罗拉斐尔椰蓉扁桃仁糖果巧克力礼盒15粒150g
14,79841618,潮庭 汕头牛肉丸 250g/袋装
15,79847120,【包邮】圣王冷冻小芋圆 紫薯圆 248g 单包装
16,79843570,嘉兴特产五芳斋熟食 腊味酱肉江南名卤肉酱鸭 酱板鸭 肉干肉脯真空包装 开袋即食 600g
17,87132017,买2送1 牛轧糖 休闲零食特产软糖花生 抹茶 牛扎糖果 台湾喜糖250g包邮 花生味
18,79844028,【罗腊肉】烟熏腊肉260g*2四川腊肉北川特产正宗熏肉农家土猪肉手工自制咸肉蜡肉烟熏腿肉
19,87707232,德国原装进口ritter sport瑞特斯波德运动排块巧克力休闲零食小吃 脆玉米片大米片夹心白巧克力 100g
20,107441054,【新年货】三星 Galaxy Note8（SM-N9500）6GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待
21,79877381,仁和金衡康罗汉果 润喉糖 2g*16粒 薄荷糖 铁盒
22,73658282,力狼狗粮 通用型小中大型犬 泰迪比熊哈士奇阿拉斯加拉布拉多金毛全犬种 蘑菇系列 香菇鸡块成犬粮10kg20斤
23,91851697,展艺 棉花糖牛轧糖原料 190克500克袋装 500g
24,79843028,薄荷香气 高浓缩 薄荷香精 饮料/果冻/ 食用香精 香精香料
25,79294457,德芙（Dove） 巧克力棒巧丝60支装威化巧克力棒保温包装休闲零食糖果送女友
26,92783533,吉迅 结婚 马口铁 创意心形喜糖盒 婚庆用品 结婚喜糖盒子 喜糖包装 鸾凤和鸣小号
27,79294300,费列罗（FERRERO）巧克力糖果礼盒装情人节生日礼物送女友
28,79293728,士力架全家桶花生夹心巧克力德芙士力架散装婚庆喜糖果情人节礼物送女友 1000g袋装
29,79293524,ASDA 英国进口 艾斯达 纯黑巧克力 休闲零食 100g
30,79877495,2017夏季新款一字拖鞋街头坡跟防水台鱼嘴凉拖鞋超高跟厚底松KY-HC-815凉拖 白色 35
31,79295019,奥地利进口 德芙巧丝轻柔夹心威化巧克力202.5g休闲威化巧克力盒装
32,79841808,煌上煌 鸭脖鸭翅鸭锁骨组合 冷藏熟食 700g（鸭脖260g+鸭翅240g+鸭锁骨200g）
33,80361021,香漫丝顿（Xiangmansidun） 德芙情人节进口巧克力礼盒装糖果礼盒生日送女友礼物 紫色魅力装巧克力
34,79847987,科尔沁 休闲肉脯零食 内蒙古特产 超干手撕风干牛肉干原味68g
35,77108361,麦豆（Madden）狗零食 宠物狗狗零食 泰迪猫狗零食香肠 美味香肠火腿肠 洁牙咬胶肠 鸡肉味30根（450g）
36,74417374,美国 SmartBones 狗狗零食磨牙棒洁齿棒狗咬胶 鸡肉卷花生酱味5支装
37,79493597,彩虹电热毯单人 电褥子一键除螨电热毯定时关断安全调温型电毯子 长1.6米宽1米 时尚灰色 W23E
38,79847147,【厂家直营 京东配送 】御食园烤红薯500g 老北京特产 传统小吃休闲零食 独立小包装
