review_id,stars
71514,5.0
23317,4.0
53482,5.0
54941,4.0
91330,5.0
5840,5.0
40445,5.0
90836,3.0
8855,5.0
88488,5.0
30865,4.0
69929,5.0
20475,5.0
37521,4.0
21452,5.0
51595,4.0
16588,4.0
79737,5.0
99053,5.0
45973,3.0
84574,4.0
33413,5.0
42643,5.0
42247,4.0
64910,4.0
73205,5.0
58474,1.0
28861,4.0
60081,1.0
15341,5.0
80054,4.0
15680,1.0
43492,5.0
79460,5.0
89861,4.0
38261,4.0
50567,1.0
62857,5.0
85337,5.0
2872,4.0
99032,5.0
43359,4.0
70332,5.0
49351,5.0
30288,3.0
17280,5.0
34030,5.0
96698,5.0
5154,4.0
92699,4.0
59262,4.0
58999,5.0
48363,4.0
82440,1.0
65611,4.0
53219,5.0
36831,4.0
35348,2.0
73871,4.0
31769,1.0
61065,5.0
13267,5.0
6422,5.0
94932,1.0
16797,5.0
11708,4.0
93656,4.0
95421,5.0
70517,5.0
92720,4.0
18883,1.0
59497,4.0
60147,4.0
33327,5.0
11746,5.0
81749,5.0
66128,5.0
43810,2.0
40478,2.0
81,5.0
27846,5.0
75196,5.0
34032,1.0
60234,4.0
14855,5.0
20700,4.0
40806,4.0
63504,5.0
87842,4.0
77948,3.0
24002,5.0
30001,5.0
11875,5.0
9680,1.0
63803,4.0
46308,5.0
68102,4.0
27335,5.0
32950,2.0
2109,5.0
1764,4.0
48757,4.0
29618,1.0
2209,5.0
99165,5.0
29326,4.0
5226,4.0
23987,4.0
59765,5.0
16268,5.0
86996,3.0
15772,5.0
86186,4.0
90961,5.0
52142,5.0
30633,5.0
24326,4.0
27542,5.0
42612,4.0
94838,5.0
54456,4.0
37939,1.0
20219,5.0
32642,4.0
5396,4.0
2948,5.0
28599,5.0
33346,4.0
81363,5.0
60398,5.0
69433,5.0
8511,5.0
54324,3.0
76355,5.0
91838,4.0
16331,3.0
50433,5.0
28342,5.0
10893,5.0
51634,1.0
85961,4.0
5457,2.0
95415,2.0
61249,5.0
76825,5.0
74123,5.0
11945,5.0
93155,1.0
47554,5.0
40094,5.0
94218,5.0
56140,5.0
42870,5.0
55470,1.0
24004,5.0
12296,5.0
25557,4.0
5055,5.0
71779,5.0
53167,5.0
85618,4.0
80920,5.0
17790,1.0
69949,4.0
99845,4.0
47747,5.0
79886,5.0
16865,5.0
56013,5.0
39216,1.0
9611,5.0
58960,5.0
3949,5.0
26383,5.0
68173,5.0
96533,5.0
8859,4.0
77737,5.0
18817,5.0
87509,4.0
30058,1.0
6485,5.0
92878,5.0
78055,4.0
1223,2.0
45859,5.0
94802,5.0
63399,3.0
79946,5.0
1765,5.0
77096,5.0
59743,5.0
95398,5.0
242,1.0
83160,5.0
45647,4.0
47555,5.0
80681,4.0
61557,3.0
51819,5.0
50675,4.0
85470,5.0
5045,5.0
76939,1.0
17393,5.0
35832,4.0
16517,2.0
25623,1.0
54338,5.0
90166,5.0
21627,5.0
11700,5.0
66506,4.0
68107,5.0
68612,5.0
96240,5.0
96386,5.0
93075,5.0
24565,5.0
83257,5.0
64827,4.0
43614,4.0
4411,3.0
91562,5.0
22402,5.0
98280,5.0
47778,1.0
46198,1.0
63017,5.0
19712,4.0
33463,5.0
77598,4.0
19166,5.0
6180,5.0
36224,1.0
9518,5.0
32875,5.0
41404,1.0
4132,3.0
89928,5.0
83968,4.0
23292,4.0
69622,5.0
27461,3.0
70950,5.0
86581,1.0
76102,5.0
73735,1.0
63501,5.0
32783,5.0
88749,4.0
45752,5.0
96292,3.0
26535,5.0
27263,5.0
3698,5.0
80679,5.0
30784,5.0
2578,1.0
40247,5.0
87974,5.0
96996,5.0
29991,5.0
63120,5.0
97361,4.0
72681,4.0
3326,4.0
35836,5.0
56069,5.0
59854,5.0
80765,5.0
28417,4.0
99585,4.0
18962,2.0
47211,4.0
12432,5.0
4479,5.0
88777,4.0
93481,5.0
14705,4.0
41755,4.0
47095,4.0
60231,5.0
28522,4.0
52838,5.0
89907,4.0
57697,5.0
74954,5.0
70043,5.0
60881,4.0
19186,1.0
55044,5.0
13277,4.0
1558,5.0
64053,5.0
21240,4.0
42986,4.0
69646,4.0
74751,3.0
80028,3.0
77187,5.0
68787,4.0
81850,5.0
88062,3.0
9104,5.0
46711,5.0
1197,3.0
35350,5.0
99021,5.0
82883,5.0
31418,5.0
91210,5.0
56239,4.0
46962,3.0
72514,5.0
73268,3.0
69206,4.0
25783,4.0
53476,4.0
89040,5.0
81003,1.0
9102,5.0
39173,3.0
83339,4.0
48834,5.0
61637,4.0
82672,4.0
66363,5.0
92758,1.0
66935,5.0
63346,5.0
96790,5.0
16170,5.0
52822,4.0
58140,4.0
35181,5.0
80861,4.0
2695,4.0
20405,5.0
22706,1.0
51116,1.0
40634,5.0
2660,3.0
82484,1.0
67712,4.0
8935,4.0
68999,1.0
31328,5.0
47951,5.0
76070,3.0
71426,4.0
24538,1.0
21444,5.0
96282,2.0
76382,4.0
82761,4.0
20649,4.0
48097,5.0
47402,1.0
30761,5.0
6024,5.0
54241,5.0
56117,4.0
31109,5.0
81339,5.0
34004,1.0
15017,5.0
38177,5.0
14644,4.0
46245,5.0
969,3.0
82318,5.0
39196,5.0
70018,3.0
29576,5.0
5191,4.0
58261,5.0
90913,5.0
32771,5.0
85112,5.0
68440,1.0
11217,5.0
34387,4.0
41396,4.0
22818,5.0
34907,1.0
20727,5.0
69317,5.0
9956,5.0
35138,5.0
59146,5.0
48897,4.0
80150,4.0
60961,5.0
81392,1.0
92251,4.0
78694,5.0
83814,2.0
91275,3.0
33558,5.0
10711,4.0
8999,5.0
49465,5.0
38395,2.0
43592,5.0
33774,5.0
96706,5.0
89023,5.0
56472,5.0
97458,4.0
56714,4.0
23012,5.0
16148,5.0
50075,5.0
81346,4.0
98958,5.0
89122,3.0
56804,1.0
12812,4.0
72533,5.0
43167,5.0
86521,4.0
291,1.0
6835,5.0
28731,4.0
40358,1.0
69999,4.0
65721,4.0
35498,5.0
54705,4.0
53927,4.0
37027,5.0
46956,5.0
11128,5.0
738,4.0
67742,5.0
76133,4.0
37976,5.0
86068,3.0
98777,3.0
81518,5.0
31757,5.0
40381,5.0
16113,1.0
65213,5.0
64135,4.0
64178,1.0
76052,5.0
71370,5.0
66932,5.0
38967,5.0
8205,4.0
41912,5.0
59388,4.0
51348,5.0
40796,4.0
22245,5.0
83434,1.0
88751,5.0
99789,5.0
73069,5.0
98418,1.0
41250,3.0
78924,5.0
79607,5.0
162,5.0
31461,5.0
70880,1.0
51862,5.0
8170,5.0
33461,5.0
1199,1.0
9257,5.0
8865,4.0
42031,4.0
97743,4.0
85929,5.0
84676,5.0
78326,5.0
7899,5.0
30562,1.0
90237,5.0
56173,5.0
8284,4.0
54051,2.0
71055,4.0
64362,5.0
12850,5.0
80667,3.0
86083,5.0
63770,4.0
20059,4.0
96985,4.0
16281,5.0
36248,5.0
32698,5.0
53823,4.0
92692,1.0
81503,3.0
22027,5.0
43644,5.0
27705,5.0
47156,4.0
74689,5.0
94159,1.0
33715,5.0
42246,5.0
76418,1.0
77434,4.0
45487,5.0
48581,5.0
19970,5.0
88862,1.0
79068,1.0
60553,5.0
537,5.0
56307,4.0
98333,4.0
65256,5.0
8514,5.0
8432,4.0
52953,5.0
64706,5.0
96837,4.0
93611,4.0
76824,5.0
80271,5.0
37060,5.0
35448,5.0
8522,4.0
9106,4.0
69879,4.0
30330,5.0
61957,5.0
33064,5.0
16810,5.0
69762,5.0
93092,5.0
8879,4.0
27425,5.0
97451,5.0
41066,5.0
48279,4.0
38760,5.0
24979,5.0
96191,5.0
12713,4.0
97394,4.0
69130,4.0
49031,5.0
77045,5.0
39394,1.0
66721,5.0
79679,5.0
1738,5.0
27976,4.0
97300,2.0
58850,5.0
25703,5.0
15124,5.0
41420,4.0
49123,5.0
72987,1.0
58078,4.0
75420,4.0
47115,4.0
69028,5.0
21979,5.0
84200,4.0
66744,5.0
29981,4.0
33058,5.0
91299,5.0
183,5.0
52557,4.0
93228,4.0
21414,5.0
64812,3.0
12321,5.0
65660,3.0
43436,5.0
43578,5.0
29501,1.0
81389,4.0
79476,5.0
59070,5.0
64859,5.0
27749,5.0
6001,5.0
75708,4.0
34430,5.0
45775,5.0
47223,1.0
12825,5.0
46372,5.0
72043,5.0
10749,5.0
23510,5.0
50596,1.0
41683,5.0
83836,5.0
50715,4.0
89519,5.0
87762,5.0
45730,5.0
31228,5.0
62432,1.0
85213,5.0
62454,1.0
77025,4.0
38950,4.0
77164,5.0
83682,5.0
32323,1.0
97354,5.0
93190,4.0
18207,3.0
9968,4.0
65816,5.0
93473,5.0
3171,5.0
65396,5.0
16693,2.0
63684,5.0
48245,4.0
44212,4.0
19289,5.0
30099,5.0
93120,4.0
73606,2.0
47860,5.0
57657,4.0
20958,4.0
65057,5.0
43736,2.0
68422,4.0
25986,5.0
70941,4.0
84466,5.0
76430,4.0
93599,4.0
34273,4.0
95576,5.0
36311,1.0
3904,5.0
80922,1.0
83178,5.0
22784,4.0
88829,5.0
92898,5.0
82694,4.0
86503,4.0
52459,5.0
98725,4.0
28285,5.0
30825,1.0
27008,5.0
97610,5.0
1858,4.0
10273,4.0
87962,1.0
41598,5.0
96408,5.0
45253,5.0
33404,5.0
42624,4.0
86624,1.0
76031,5.0
42626,4.0
47567,4.0
85716,5.0
53572,1.0
50959,5.0
1018,4.0
37084,5.0
34145,4.0
53707,5.0
14264,5.0
60717,5.0
75469,4.0
2471,4.0
9434,4.0
99794,4.0
70672,5.0
7594,5.0
58060,5.0
27399,5.0
96796,1.0
90556,5.0
66000,5.0
82929,5.0
59412,4.0
3495,4.0
8344,4.0
57300,5.0
71424,1.0
25609,1.0
12455,5.0
36801,1.0
87680,5.0
50548,5.0
40760,4.0
50113,5.0
97001,5.0
53410,5.0
71780,5.0
70439,5.0
195,5.0
35629,5.0
27885,5.0
70324,4.0
63866,4.0
69486,5.0
50109,5.0
59844,5.0
76795,5.0
17203,5.0
92896,5.0
86518,4.0
90424,1.0
35088,5.0
51700,4.0
1196,5.0
22845,5.0
90776,2.0
61675,1.0
99180,5.0
7719,3.0
55020,5.0
74221,5.0
53445,5.0
58625,4.0
55387,2.0
25091,5.0
11714,5.0
51647,5.0
61,5.0
20749,5.0
85218,5.0
60758,2.0
19495,5.0
96103,4.0
84169,4.0
18759,5.0
25222,5.0
25407,5.0
38168,5.0
15116,5.0
98181,4.0
54137,4.0
95268,3.0
14981,4.0
60158,4.0
55023,5.0
21654,4.0
65616,5.0
48614,4.0
24862,4.0
54534,5.0
61159,4.0
46177,1.0
44531,4.0
29380,5.0
61318,5.0
66138,5.0
95060,5.0
12615,5.0
81925,5.0
86460,5.0
10659,5.0
50943,4.0
29631,5.0
32873,5.0
75127,4.0
66589,1.0
40482,4.0
38724,5.0
38595,5.0
36767,5.0
58281,5.0
58733,5.0
27538,5.0
51009,4.0
76822,5.0
98818,1.0
25933,5.0
52949,1.0
86896,4.0
10277,5.0
52441,4.0
14910,5.0
2101,5.0
67771,5.0
31752,5.0
86189,1.0
97685,1.0
9979,5.0
38566,4.0
78904,5.0
92033,4.0
77404,4.0
61111,5.0
46637,4.0
97369,4.0
79074,5.0
58106,5.0
26722,4.0
65150,3.0
81672,5.0
24270,4.0
13570,5.0
77784,4.0
7381,5.0
84742,5.0
12787,5.0
30436,3.0
35003,5.0
91521,1.0
63099,4.0
95471,2.0
27020,4.0
14979,5.0
74969,4.0
69755,3.0
96072,5.0
82541,5.0
21689,5.0
79882,4.0
36650,4.0
98528,5.0
87576,5.0
22768,4.0
46974,4.0
41233,5.0
96223,3.0
61783,5.0
919,5.0
90935,1.0
45980,3.0
72631,4.0
55412,4.0
